source1domefareceiver2domelabformat_2,,,,,,,,,,
T30 [s],,0.191,0.198,0.269,0.198,0.152,0.147,0.152,0.11,0.3
T60,,0.225,0.178,0.3325,0.2165,0.1625,0.1725,0.162,0.1265,0.2415
STI male,,0.83 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source5domemireceiver1domefabformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.05,0.046,0.026,0.041,0.029,0.177,0.043,0.051,0.532
T30 [s],,0.048,0.032,0.052,0.035,0.027,0.149,0.039,0.018,0.66
T60,,0.049,0.039,0.039,0.038,0.028,0.163,0.041,0.0345,0.596
STI male,,0.92 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source5domemireceiver1domefabformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.132,0.046,0.03,0.086,0.074,0.039,0.051,0.043,0.102
T30 [s],,0.103,0.039,0.042,0.061,0.059,0.03,0.029,0.039,0.584
T60,,0.1175,0.0425,0.036,0.0735,0.0665,0.0345,0.04,0.041,0.343
STI male,,0.92 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source5domemireceiver2domelabformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.064,0.085,0.085,0.11,0.072,0.078,0.062,0.038,0.11
T30 [s],,0.295,0.076,0.075,0.094,0.067,0.075,0.065,0.039,0.53
T60,,0.1795,0.0805,0.08,0.102,0.0695,0.0765,0.0635,0.0385,0.32
STI male,,0.96 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source5domemireceiver2domelabformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.074,0.057,0.07,0.09,0.076,0.067,0.042,0.057,0.148
T30 [s],,0.083,0.056,0.07,0.062,0.062,0.054,0.043,0.04,0.522
T60,,0.0785,0.0565,0.07,0.076,0.069,0.0605,0.0425,0.0485,0.335
STI male,,0.95 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source5domemireceiver3domesibformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.102,0.114,0.105,0.098,0.09,0.076,0.198,0.05,0.145
T30 [s],,0.086,0.132,0.092,0.075,0.072,0.065,0.062,0.059,0.464
T60,,0.094,0.123,0.0985,0.0865,0.081,0.0705,0.13,0.0545,0.3045
STI male,,0.96 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source5domemireceiver3domesibformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.12,0.145,0.09,0.058,0.09,0.085,0.097,0.073,0.163
T30 [s],,0.111,0.123,0.081,0.068,0.083,0.059,0.052,0.069,0.478
T60,,0.1155,0.134,0.0855,0.063,0.0865,0.072,0.0745,0.071,0.3205
STI male,,0.94 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source5domemireceiver4domedobformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.151,0.161,0.054,0.067,0.06,0.066,0.057,0.053,0.477
T30 [s],,0.125,0.123,0.094,0.105,0.042,0.053,0.049,0.033,0.636
T60,,0.138,0.142,0.074,0.086,0.051,0.0595,0.053,0.043,0.5565
STI male,,0.93 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source5domemireceiver4domedobformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.105,0.085,0.114,0.128,0.1,0.154,0.106,0.142,0.169
T30 [s],,0.099,0.101,0.101,0.111,0.096,0.076,0.078,0.126,0.511
T60,,0.102,0.093,0.1075,0.1195,0.098,0.115,0.092,0.134,0.34
STI male,,0.97 (Excellent),,,,,,,,
